Sig	ips	exposure	denovo
UV_Skin_J	HPSI0114i-zapk_2	2069.3696910143	denovo
Culture	HPSI0114i-zapk_3	942	denovo
Skin_B	HPSI0114i-zapk_3	0	denovo
Skin_C	HPSI0114i-zapk_3	0	denovo
UV_Skin_D	HPSI0114i-zapk_3	960.5	denovo
Skin_E	HPSI0114i-zapk_3	0	denovo
Skin_F	HPSI0114i-zapk_3	0	denovo
Skin_G	HPSI0114i-zapk_3	0	denovo
Skin_H	HPSI0114i-zapk_3	346	denovo
Skin_I	HPSI0114i-zapk_3	0	denovo
UV_Skin_J	HPSI0114i-zapk_3	2026	denovo
Culture	HPSI0114i-zoxy_3	1058.10837932765	denovo
Skin_B	HPSI0114i-zoxy_3	161.50075263422	denovo
Skin_C	HPSI0114i-zoxy_3	0	denovo
UV_Skin_D	HPSI0114i-zoxy_3	0	denovo
Skin_E	HPSI0114i-zoxy_3	0	denovo
Skin_F	HPSI0114i-zoxy_3	0	denovo
Skin_G	HPSI0114i-zoxy_3	194.408429503261	denovo
Skin_H	HPSI0114i-zoxy_3	368.565980933266	denovo
Skin_I	HPSI0114i-zoxy_3	0	denovo
UV_Skin_J	HPSI0114i-zoxy_3	0	denovo
Culture	HPSI0115i-aion_2	546.685532366466	denovo
Skin_B	HPSI0115i-aion_2	0	denovo
Skin_C	HPSI0115i-aion_2	0	denovo
UV_Skin_D	HPSI0115i-aion_2	364.457021577644	denovo
Skin_E	HPSI0115i-aion_2	0	denovo
Skin_F	HPSI0115i-aion_2	0	denovo
Skin_G	HPSI0115i-aion_2	0	denovo
Skin_H	HPSI0115i-aion_2	191.84612663601	denovo
Skin_I	HPSI0115i-aion_2	0	denovo
UV_Skin_J	HPSI0115i-aion_2	0	denovo
Culture	HPSI0115i-aion_3	858.129496402878	denovo
Skin_B	HPSI0115i-aion_3	0	denovo
Skin_C	HPSI0115i-aion_3	0	denovo
UV_Skin_D	HPSI0115i-aion_3	340.935251798561	denovo
Skin_E	HPSI0115i-aion_3	0	denovo
Skin_F	HPSI0115i-aion_3	0	denovo
Skin_G	HPSI0115i-aion_3	0	denovo
Skin_H	HPSI0115i-aion_3	191.870503597122	denovo
Skin_I	HPSI0115i-aion_3	0	denovo
UV_Skin_J	HPSI0115i-aion_3	0	denovo
Culture	HPSI0115i-aoxv_1	529.787977254265	denovo
Skin_B	HPSI0115i-aoxv_1	0	denovo
Skin_C	HPSI0115i-aoxv_1	0	denovo
UV_Skin_D	HPSI0115i-aoxv_1	857.083671811535	denovo
Skin_E	HPSI0115i-aoxv_1	0	denovo
Skin_F	HPSI0115i-aoxv_1	0	denovo
Skin_G	HPSI0115i-aoxv_1	0	denovo
Skin_H	HPSI0115i-aoxv_1	350.351746547522	denovo
Skin_I	HPSI0115i-aoxv_1	0	denovo
UV_Skin_J	HPSI0115i-aoxv_1	878.134849715678	denovo
Culture	HPSI0115i-aoxv_3	535.517543859649	denovo
Skin_B	HPSI0115i-aoxv_3	0	denovo
Skin_C	HPSI0115i-aoxv_3	0	denovo
UV_Skin_D	HPSI0115i-aoxv_3	720.889001349528	denovo
Skin_E	HPSI0115i-aoxv_3	0	denovo
Skin_F	HPSI0115i-aoxv_3	0	denovo
Skin_G	HPSI0115i-aoxv_3	0	denovo
Skin_H	HPSI0115i-aoxv_3	384.306680161943	denovo
Skin_I	HPSI0115i-aoxv_3	0	denovo
UV_Skin_J	HPSI0115i-aoxv_3	984.628879892038	denovo
Culture	HPSI0115i-bimq_4	603.3288166215	denovo
Skin_B	HPSI0115i-bimq_4	0	denovo
Skin_C	HPSI0115i-bimq_4	0	denovo
UV_Skin_D	HPSI0115i-bimq_4	456.777326106594	denovo
Skin_E	HPSI0115i-bimq_4	0	denovo
Skin_F	HPSI0115i-bimq_4	0	denovo
Skin_G	HPSI0115i-bimq_4	299.146341463415	denovo
Skin_H	HPSI0115i-bimq_4	411.452122854562	denovo
Skin_I	HPSI0115i-bimq_4	264.900632339657	denovo
UV_Skin_J	HPSI0115i-bimq_4	0	denovo
Culture	HPSI0115i-bimq_5	679.654255319149	denovo
Skin_B	HPSI0115i-bimq_5	0	denovo
Skin_C	HPSI0115i-bimq_5	181.914893617021	denovo
UV_Skin_D	HPSI0115i-bimq_5	0	denovo
Skin_E	HPSI0115i-bimq_5	0	denovo
Skin_F	HPSI0115i-bimq_5	0	denovo
Skin_G	HPSI0115i-bimq_5	175.345744680851	denovo
Skin_H	HPSI0115i-bimq_5	206.170212765957	denovo
Skin_I	HPSI0115i-bimq_5	0	denovo
UV_Skin_J	HPSI0115i-bimq_5	0	denovo
Culture	HPSI0115i-boqx_1	876.640761904762	denovo
Skin_B	HPSI0115i-boqx_1	0	denovo
Skin_C	HPSI0115i-boqx_1	0	denovo
UV_Skin_D	HPSI0115i-boqx_1	949.107047619048	denovo
Skin_E	HPSI0115i-boqx_1	0	denovo
Skin_F	HPSI0115i-boqx_1	0	denovo
Skin_G	HPSI0115i-boqx_1	326.098285714286	denovo
Skin_H	HPSI0115i-boqx_1	520.348190476191	denovo
Skin_I	HPSI0115i-boqx_1	0	denovo
UV_Skin_J	HPSI0115i-boqx_1	823.800761904762	denovo
Culture	HPSI0115i-boqx_2	898.578034682081	denovo
Skin_B	HPSI0115i-boqx_2	0	denovo
Skin_C	HPSI0115i-boqx_2	0	denovo
UV_Skin_D	HPSI0115i-boqx_2	934.641367177683	denovo
Skin_E	HPSI0115i-boqx_2	0	denovo
Skin_F	HPSI0115i-boqx_2	0	denovo
Skin_G	HPSI0115i-boqx_2	329.077909022368	denovo
Skin_H	HPSI0115i-boqx_2	508.893691882382	denovo
Skin_I	HPSI0115i-boqx_2	0	denovo
UV_Skin_J	HPSI0115i-boqx_2	833.4636843428	denovo
Culture	HPSI0115i-gifk_1	541.566514711977	denovo
Skin_B	HPSI0115i-gifk_1	0	denovo
Skin_C	HPSI0115i-gifk_1	0	denovo
UV_Skin_D	HPSI0115i-gifk_1	0	denovo
Skin_E	HPSI0115i-gifk_1	0	denovo
Skin_F	HPSI0115i-gifk_1	0	denovo
Skin_G	HPSI0115i-gifk_1	0	denovo
Skin_H	HPSI0115i-gifk_1	300.372979693328	denovo
Skin_I	HPSI0115i-gifk_1	251.636966431828	denovo
UV_Skin_J	HPSI0115i-gifk_1	0	denovo
Culture	HPSI0115i-gost_2	599.085299455535	denovo
Skin_B	HPSI0115i-gost_2	0	denovo
Skin_C	HPSI0115i-gost_2	0	denovo
UV_Skin_D	HPSI0115i-gost_2	0	denovo
Skin_E	HPSI0115i-gost_2	0	denovo
Skin_F	HPSI0115i-gost_2	0	denovo
Skin_G	HPSI0115i-gost_2	0	denovo
Skin_H	HPSI0115i-gost_2	307.557168784029	denovo
Skin_I	HPSI0115i-gost_2	0	denovo
UV_Skin_J	HPSI0115i-gost_2	0	denovo
Culture	HPSI0115i-hecn_3	757.452292728115	denovo
Skin_B	HPSI0115i-hecn_3	0	denovo
Skin_C	HPSI0115i-hecn_3	0	denovo
UV_Skin_D	HPSI0115i-hecn_3	262.408522464104	denovo
Skin_E	HPSI0115i-hecn_3	0	denovo
Skin_F	HPSI0115i-hecn_3	0	denovo
Skin_G	HPSI0115i-hecn_3	262.913154238073	denovo
Skin_H	HPSI0115i-hecn_3	535.414312181565	denovo
